Test ID,Nhóm,Test Name,Purpose,Pre-condition,Test Equipment,Test Procedure,Acceptance Criteria,Expected result,Th?i gian,Giá tr? ?o th?c t?,Pass/Fail,Evidence / Log,Executed By,Executed Date,Severity khi Fail
ST-COM-001,Network & Communication Stress,Ethernet 100 Mbps Throughput,Ki?m tra c?ng Ethernet có truy?n d? li?u ?n ??nh ? m?c 100 Mbps.,Robot kh?i ??ng bình th??ng; pin/ngu?n ?? th?i gian test; cáp Ethernet ?úng chu?n; robot ? khu v?c an toàn; không l?i Critical; logging b?t.,Robot; PC; cáp Ethernet; iperf3; ping; công c? xem log.,"1. ??t robot ? v? trí an toàn và ki?m tra E-stop.
2. C?m cáp Ethernet gi?a robot và PC/switch.
3. Ki?m tra tr?ng thái link và ghi t?c ?? k?t n?i ban ??u.
4. Trên PC m? terminal và ch?y iperf3 ? ch? ?? server.
5. Trên robot ch?y iperf3 client, ??t workload kho?ng 100 Mbps.
6. Duy trì 30 phút.
7. M?i 5 phút ghi throughput, latency và l?i k?t n?i.
8. Ki?m tra robot v?n giao ti?p bình th??ng.
9. D?ng iperf3 và ki?m tra log.",Ethernet v?n k?t n?i; throughput ?n ??nh quanh m?c m?c tiêu; robot không b? m?t k?t n?i.,Throughput ??t requirement; không disconnect b?t th??ng; không Critical communication error; latency/packet loss trong gi?i h?n requirement.,30 min,,,,,,Major
ST-COM-002,Network & Communication Stress,Ethernet 1 Gbps Throughput,Ki?m tra kh? n?ng truy?n d? li?u ?n ??nh ? m?c 1 Gbps.,Robot bình th??ng; cáp/switch h? tr? 1 Gbps; ngu?n ??; không l?i Critical; logging b?t.,Robot; PC; cáp Ethernet; switch 1 Gbps n?u c?n; iperf3; ping.,"1. K?t n?i robot v?i PC/switch.
2. Ki?m tra link speed ph?i h? tr? 1 Gbps.
3. Ch?y iperf3 server trên PC.
4. Ch?y iperf3 client trên robot.
5. Duy trì 30–120 phút theo k? ho?ch.
6. Ghi throughput và latency m?i 5 phút.
7. Theo dõi disconnect và error.
8. D?ng test và ki?m tra log.",Link và communication duy trì ?n ??nh; throughput ??t m?c yêu c?u.,Throughput ??t requirement; không disconnect; không Critical error; latency/packet loss trong gi?i h?n.,30–120 min,,,,,,Major
ST-COM-003,Network & Communication Stress,Ethernet Maximum Throughput,?ánh giá hi?u n?ng khi Ethernet ho?t ??ng g?n m?c t?i ?a c?a interface.,Robot và thi?t b? m?ng h? tr? t?c ?? c?n test; k?t n?i v?t lý t?t; logging b?t; ?ã xác ??nh gi?i h?n an toàn.,Robot; PC; switch phù h?p; iperf3; ping; monitoring tool.,"1. Ki?m tra link speed.
2. Ch?y iperf3 v?i 1 stream.
3. Ghi throughput.
4. N?u requirement yêu c?u, l?p v?i nhi?u stream.
5. Duy trì workload theo th?i gian test.
6. Ghi throughput, CPU và latency.
7. Ki?m tra error/disconnect.
8. D?ng workload và ki?m tra log.",Throughput ??t m?c thi?t k?/requirement và robot v?n ho?t ??ng bình th??ng.,Throughput ??t requirement; không Critical communication error; không m?t k?t n?i b?t th??ng.,30–120 min,,,,,,Major
ST-COM-004,Network & Communication Stress,Ethernet Packet Loss,Ki?m tra t? l? m?t gói khi Ethernet ?ang ch?u t?i.,Robot và PC k?t n?i ?n ??nh; không có l?i m?ng tr??c test; logging b?t.,Robot; PC; iperf3; ping; packet monitoring tool.,"1. Ch?y ping ?? ki?m tra k?t n?i tr??c test.
2. Ch?y iperf3 t?o traffic.
3. ??ng th?i ch?y ping v?i s? l??ng gói ?? l?n.
4. Duy trì 30 phút.
5. Ghi packet loss và latency m?i 5 phút.
6. Ki?m tra ?ng d?ng/ROS 2 communication n?u có.
7. D?ng traffic và l?u k?t qu?.",Packet loss th?p và không làm gián ?o?n ch?c n?ng robot.,Packet loss ? requirement; không disconnect; không Critical communication error.,30 min,,,,,,Major
ST-COM-005,Network & Communication Stress,Ethernet Latency / Jitter,Ki?m tra ?? tr? và ?? bi?n thiên ?? tr? khi m?ng có t?i.,Robot và PC k?t n?i ?n ??nh; workload m?ng ?ã chu?n b?; logging b?t.,Robot; PC; ping; iperf3; công c? ?o jitter n?u có.,"1. Ch?y ping khi ch?a có traffic ?? l?y baseline.
2. Ch?y iperf3 t?o traffic n?n.
3. Ti?p t?c ?o latency/jitter.
4. Duy trì 30 phút.
5. Ghi min/average/max latency và jitter theo chu k?.
6. Ki?m tra robot v?n giao ti?p bình th??ng.
7. D?ng workload và l?u log.",Latency và jitter không t?ng b?t th??ng khi có t?i.,Latency/jitter n?m trong requirement; không timeout ho?c disconnect ngoài d? ki?n.,30 min,,,,,,Major
ST-COM-006,Network & Communication Stress,CAN 50% Bus Load,Ki?m tra CAN khi bus load kho?ng 50%.,Robot bình th??ng; CAN interface ho?t ??ng; robot ? tr?ng thái an toàn; logging b?t.,Robot; CAN analyzer/interface; PC; CAN traffic generator/monitor.,"1. K?t n?i CAN analyzer.
2. Ki?m tra CAN ?ang ho?t ??ng bình th??ng.
3. Ghi bus load và error count ban ??u.
4. T?o traffic ?? bus load kho?ng 50%.
5. Duy trì 30 phút.
6. M?i 5 phút ghi bus load, error frame, dropped frame và tr?ng thái message quan tr?ng.
7. Ki?m tra ch?c n?ng s? d?ng CAN.
8. D?ng traffic và ki?m tra log.",CAN truy?n nh?n ?n ??nh ? t?i kho?ng 50%.,Bus load kho?ng 45–55%; error trong gi?i h?n requirement; không bus-off; message quan tr?ng ho?t ??ng bình th??ng.,30 min,,,,,,Major
ST-COM-007,Network & Communication Stress,CAN 80% Bus Load,Ki?m tra CAN ? t?i cao kho?ng 80%.,CAN ho?t ??ng bình th??ng; ?ã xác ??nh gi?i h?n an toàn; robot ? tr?ng thái an toàn; logging b?t.,Robot; CAN analyzer; PC; CAN traffic generator.,"1. Ghi bus load và error count tr??c test.
2. T?ng traffic t? t? ??n kho?ng 80%.
3. Duy trì 30 phút.
4. Theo dõi bus load, error frame, latency và tr?ng thái node.
5. Ki?m tra message quan tr?ng.
6. N?u xu?t hi?n bus-off ngoài d? ki?n, d?ng test và ghi nh?n.
7. Gi?m traffic v? m?c bình th??ng.
8. Ki?m tra CAN sau test.",CAN v?n truy?n nh?n message ? t?i cao; h? th?ng không m?t communication ngoài d? ki?n.,Bus load kho?ng 75–85%; không Critical error; không bus-off không h?i ph?c; message quan tr?ng ??t requirement.,30 min,,,,,,Major
ST-COM-008,Network & Communication Stress,CAN 90–95% Bus Load,Ki?m tra hành vi CAN khi bus g?n bão hòa.,CAN ho?t ??ng bình th??ng; ?ã xác ??nh gi?i h?n an toàn; có cách d?ng traffic ngay; robot ? tr?ng thái an toàn.,Robot; CAN analyzer; CAN traffic generator; PC; log viewer.,"1. Ki?m tra CAN ? tr?ng thái bình th??ng.
2. T?ng traffic t? t?, không t?ng ??t ng?t.
3. ??t bus load kho?ng 90–95%.
4. Duy trì trong th?i gian ???c phê duy?t.
5. Theo dõi error frame, latency, dropped frame và bus-off.
6. Ki?m tra message quan tr?ng.
7. Gi?m traffic v? 0.
8. Ki?m tra CAN có tr? l?i bình th??ng không.
9. L?u log.",CAN có hành vi ?úng thi?t k? khi g?n bão hòa; không m?t ki?m soát.,Bus load ??t kho?ng 90–95%; không Critical failure; n?u bus-off x?y ra ph?i recovery ?úng requirement; message quan tr?ng ???c x? lý ?úng.,30 min,,,,,,Major
ST-COM-009,Network & Communication Stress,CAN Bus-off Recovery,Ki?m tra kh? n?ng phát hi?n và ph?c h?i sau tr?ng thái CAN bus-off.,?ã xác ??nh ph??ng pháp fault injection an toàn; E-stop ho?t ??ng; có quy trình recovery; robot không th?c hi?n nhi?m v? nguy hi?m.,Robot; CAN analyzer; CAN fault/traffic tool; PC; log viewer.,"1. Ki?m tra CAN ho?t ??ng bình th??ng.
2. Ghi bus state và error counter ban ??u.
3. Dùng ph??ng pháp fault injection ?? t?o bus-off.
4. Ghi th?i ?i?m CAN chuy?n sang bus-off.
5. Quan sát c? ch? auto-recovery ho?c th?c hi?n recovery theo thi?t k?.
6. Ki?m tra CAN tr? l?i tr?ng thái ho?t ??ng.
7. G?i/nh?n message ki?m tra.
8. Ki?m tra system log.",CAN bus-off ???c phát hi?n và ph?c h?i theo thi?t k?; communication ho?t ??ng tr? l?i.,Bus-off ???c phát hi?n; recovery ?úng requirement; không c?n reboot toàn robot n?u thi?t k? không yêu c?u; message sau recovery ?úng.,30–60 min,,,,,,Major
ST-COM-010,Network & Communication Stress,USB High Traffic,Ki?m tra nhi?u thi?t b? USB truy?n d? li?u ??ng th?i.,Robot có ?? c?ng/b?ng thông USB; thi?t b? USB ho?t ??ng bình th??ng riêng l?; robot an toàn; logging b?t.,Robot; PC; USB devices; USB traffic tool; camera/storage USB n?u có; dmesg/USB monitor.,"1. K?t n?i các thi?t b? USB c?n test.
2. Ki?m tra t?t c? thi?t b? ???c nh?n di?n.
3. Ghi tr?ng thái và t?c ?? USB ban ??u.
4. T?o traffic ??c/ghi ho?c stream d? li?u ??ng th?i.
5. Duy trì 30–120 phút.
6. Theo dõi USB disconnect, reset, error và dmesg.
7. Ki?m tra d? li?u t? t?ng thi?t b?.
8. D?ng traffic và ki?m tra log.",T?t c? thi?t b? USB duy trì k?t n?i và truy?n d? li?u bình th??ng.,Không disconnect/reset b?t th??ng; không Critical USB error; throughput ??t requirement; không m?t ch?c n?ng quan tr?ng.,30–120 min,,,,,,Major
ST-COM-011,Network & Communication Stress,Wi-Fi Sustained Traffic,Ki?m tra k?t n?i Wi-Fi ?n ??nh trong th?i gian dài khi có traffic.,Robot k?t n?i ?úng Wi-Fi; tín hi?u ?? m?nh; AP ho?t ??ng bình th??ng; robot an toàn; logging b?t.,Robot; Wi-Fi AP; PC; iperf3; ping; Wi-Fi monitor.,"1. K?t n?i robot v?i ?úng SSID.
2. Ghi RSSI/signal, IP và latency ban ??u.
3. Ch?y iperf3 t?o traffic gi?a robot và PC qua Wi-Fi.
4. Duy trì 30–120 phút.
5. M?i 5 phút ghi throughput, latency, packet loss và RSSI n?u có.
6. Ki?m tra robot không m?t Wi-Fi.
7. D?ng traffic và ki?m tra log.",Wi-Fi duy trì k?t n?i; throughput và latency ?n ??nh; robot không m?t m?ng b?t th??ng.,Không disconnect ngoài requirement; packet loss/latency/throughput ??t requirement; không Critical communication error.,30–120 min,,,,,,Major
ST-COM-012,Network & Communication Stress,Multi-interface Concurrent,"Ki?m tra Ethernet, CAN, USB và Wi-Fi khi cùng ho?t ??ng v?i traffic cao.",Ethernet/CAN/USB/Wi-Fi ??u ho?t ??ng bình th??ng riêng l?; ngu?n ??; robot ? tr?ng thái an toàn; logging b?t.,Robot; PC; iperf3; ping; CAN analyzer; USB traffic tool; Wi-Fi monitor.,"1. Ki?m tra t?ng interface tr??c test.
2. K?t n?i Ethernet và Wi-Fi.
3. T?o Ethernet traffic b?ng iperf3.
4. T?o CAN traffic theo m?c ???c phê duy?t.
5. T?o USB read/write ho?c streaming.
6. Duy trì Wi-Fi traffic ??ng th?i.
7. Trong 30–120 phút ghi throughput, latency, packet loss, CAN bus load/error, USB disconnect và Wi-Fi status.
8. Ki?m tra robot v?n giao ti?p v?i các subsystem.
9. D?ng t?ng workload theo th? t? an toàn.
10. Ki?m tra system log.",T?t c? interface duy trì ho?t ??ng; không interface nào b? m?t k?t n?i b?t th??ng; robot v?n ho?t ??ng bình th??ng.,Không Critical communication error; không bus-off không h?i ph?c; không USB disconnect b?t th??ng; Ethernet/Wi-Fi throughput và latency ??t requirement.,30–120 min,,,,,,Major
ST-SEN-001,Sensor Stress,Single Camera Streaming,Ki?m tra m?t camera có th? truy?n hình ?nh liên t?c trong th?i gian dài mà không m?t k?t n?i ho?c gi?m ch?t l??ng b?t th??ng.,Robot kh?i ??ng bình th??ng; pin ?50%; robot ? khu v?c an toàn; camera ho?t ??ng bình th??ng tr??c test; không l?i Critical; logging b?t.,Robot; camera; PC; ROS 2 tools; công c? xem topic/rate; công c? ?o nhi?t ??.,"1. ??t robot ? tr?ng thái an toàn và ki?m tra E-stop.
2. K?t n?i PC v?i robot.
3. B?t camera và ki?m tra hình ?nh ?ang nh?n bình th??ng.
4. Ki?m tra rate/FPS ban ??u.
5. Cho camera streaming liên t?c trong 1–4 gi?.
6. M?i 15 phút ghi FPS/rate, latency, dropped frame/data, nhi?t ?? và connection status.
7. Ki?m tra topic camera v?n có d? li?u.
8. Sau khi ?? th?i gian, d?ng streaming.
9. Ki?m tra log và ghi nh?n l?i.",Camera duy trì rate/FPS; d? li?u liên t?c; không m?t k?t n?i; hình ?nh/d? li?u h?p l?.,Dropped data và latency trong requirement; không disconnect b?t th??ng; không sensor node crash.,1–4 h,,,,,,Major
ST-SEN-002,Sensor Stress,Multi-Camera Streaming,Ki?m tra nhi?u camera ch?y ??ng th?i trong th?i gian dài.,Robot bình th??ng; t?t c? camera c?n test ho?t ??ng riêng l?; ngu?n ??; robot an toàn; logging b?t.,Robot; nhi?u camera; PC; ROS 2 tools; monitoring/temperature tool.,"1. Ki?m tra t?ng camera ho?t ??ng bình th??ng tr??c test.
2. B?t t?t c? camera c?n test.
3. Ki?m tra FPS/rate c?a t?ng camera.
4. Cho t?t c? camera streaming ??ng th?i trong 1–4 gi?.
5. M?i 15 phút ghi FPS t?ng camera, latency, dropped frame và connection status.
6. Ki?m tra không camera nào b? disconnect.
7. Ki?m tra CPU/GPU/RAM n?u camera làm t?ng workload.
8. D?ng streaming và ki?m tra log.",T?t c? camera duy trì stream; d? li?u t? t?ng camera h?p l?; không disconnect b?t th??ng.,"FPS/rate, latency và dropped data c?a t?ng camera trong requirement; không camera node crash/disconnect.",1–4 h,,,,,,Major
ST-SEN-003,Sensor Stress,High-Resolution Camera Stress,Ki?m tra camera ? ?? phân gi?i cao có ho?t ??ng ?n ??nh trong th?i gian dài.,Camera h? tr? ?? phân gi?i c?n test; robot an toàn; ngu?n ??; logging b?t.,Robot; camera; PC; ROS 2 tools; monitoring tool.,"1. Ch?n ?? phân gi?i cao theo c?u hình yêu c?u.
2. B?t camera và ki?m tra hình ?nh.
3. Ghi FPS/rate, latency và nhi?t ?? ban ??u.
4. Cho camera streaming liên t?c 1–4 gi?.
5. M?i 15 phút ghi FPS, dropped frame/data, latency và nhi?t ??.
6. Ki?m tra camera không t? restart ho?c disconnect.
7. D?ng streaming và ki?m tra log.",Camera duy trì ?úng ?? phân gi?i và rate; không m?t k?t n?i; d? li?u h?p l?.,Dropped data và latency trong requirement; không disconnect/restart b?t th??ng; nhi?t ?? trong gi?i h?n thi?t k?.,1–4 h,,,,,,Major
ST-SEN-004,Sensor Stress,LiDAR Continuous,Ki?m tra LiDAR có th? ho?t ??ng và truy?n d? li?u liên t?c trong th?i gian dài.,LiDAR ho?t ??ng bình th??ng tr??c test; robot ? khu v?c an toàn; ngu?n ??; logging b?t.,Robot; LiDAR; PC; ROS 2 tools; temperature monitor.,"1. B?t LiDAR và ki?m tra d? li?u point cloud/scan.
2. Ki?m tra rate ban ??u.
3. Cho LiDAR ch?y liên t?c 1–4 gi?.
4. M?i 15 phút ghi rate, latency, dropped data, nhi?t ?? và connection status.
5. Ki?m tra topic LiDAR v?n có d? li?u.
6. Ki?m tra không disconnect ho?c node crash.
7. D?ng LiDAR và ki?m tra log.",LiDAR duy trì ?úng rate; d? li?u scan/point cloud liên t?c và h?p l?.,Dropped data/latency trong requirement; không disconnect b?t th??ng; không node crash.,1–4 h,,,,,,Major
ST-SEN-005,Sensor Stress,LiDAR High-Rate,Ki?m tra LiDAR khi ch?y ? t?c ?? d? li?u cao.,LiDAR h? tr? c?u hình high-rate; robot an toàn; ngu?n ??; logging b?t.,Robot; LiDAR; PC; ROS 2 tools; monitoring tool.,"1. C?u hình LiDAR ? rate cao theo requirement.
2. Ki?m tra d? li?u và rate tr??c test.
3. Ch?y LiDAR liên t?c 1–4 gi?.
4. M?i 15 phút ghi rate, latency, dropped data và nhi?t ??.
5. Theo dõi CPU/RAM n?u c?n.
6. Ki?m tra topic và connection status.
7. D?ng test và ki?m tra log.",LiDAR duy trì rate cao; d? li?u không b? m?t b?t th??ng; h? th?ng v?n ?n ??nh.,Rate/latency/dropped data trong requirement; không disconnect; không node crash ho?c l?i Critical.,1–4 h,,,,,,Major
ST-SEN-006,Sensor Stress,IMU Maximum Rate,Ki?m tra IMU ho?t ??ng ?n ??nh ? rate t?i ?a.,IMU ho?t ??ng bình th??ng; robot ??ng yên/an toàn; rate t?i ?a ?ã xác ??nh; logging b?t.,Robot; IMU; PC; ROS 2 tools; monitoring tool.,"1. ??t robot ? tr?ng thái ??ng yên n?u test không yêu c?u chuy?n ??ng.
2. Ki?m tra IMU ?ang publish bình th??ng.
3. C?u hình IMU ? maximum rate theo requirement.
4. Ghi rate và latency ban ??u.
5. Cho IMU ch?y liên t?c 1–4 gi?.
6. M?i 15 phút ghi rate, latency, dropped sample và connection status.
7. Ki?m tra topic IMU không b? d?ng.
8. D?ng test và ki?m tra log.",IMU duy trì maximum rate; d? li?u liên t?c; không m?t k?t n?i.,Rate/latency/dropped data trong requirement; không disconnect; không IMU node crash.,1–4 h,,,,,,Major
ST-SEN-007,Sensor Stress,Encoder High-Rate,Ki?m tra d? li?u encoder/joint state ???c c?p nh?t liên t?c ? rate cao.,Robot ? tr?ng thái an toàn; encoder/joint state ho?t ??ng bình th??ng; logging b?t.,Robot; encoder/joint state; PC; ROS 2 tools; monitoring tool.,"1. Ki?m tra encoder/joint state ?ang publish.
2. Ghi rate và latency ban ??u.
3. C?u hình rate cao theo requirement.
4. Cho d? li?u ch?y liên t?c 1–4 gi?.
5. M?i 15 phút ghi rate, latency, dropped data và connection status.
6. Ki?m tra joint state v?n c?p nh?t.
7. D?ng test và ki?m tra log.",Encoder/joint state duy trì rate; d? li?u không b? m?t ho?c ng?t b?t th??ng.,Rate/latency/dropped data trong requirement; không disconnect; không node crash.,1–4 h,,,,,,Major
ST-SEN-008,Sensor Stress,Sensor Timestamp,Ki?m tra timestamp c?a d? li?u sensor có ?n ??nh và ??ng b? ?úng yêu c?u.,Sensor ho?t ??ng bình th??ng; h? th?ng time synchronization ?ã ???c c?u hình; logging b?t.,Robot; camera/LiDAR/IMU/encoder; PC; ROS 2 tools; time monitoring tool.,"1. Ch?n các sensor c?n ki?m tra timestamp.
2. Ki?m tra clock/time synchronization tr??c test.
3. Ghi timestamp c?a message t? t?ng sensor.
4. Cho sensor ch?y liên t?c 1–4 gi?.
5. L?y m?u timestamp theo chu k?.
6. So sánh timestamp gi?a các message/sensor theo requirement.
7. Ghi nh?n timestamp jump, drift ho?c message out-of-order n?u có.
8. Ki?m tra log.",Timestamp t?ng ?úng th? t? và sai l?ch gi?a các sensor n?m trong gi?i h?n.,Timestamp/clock offset/drift trong requirement; không timestamp b?t th??ng gây ?nh h??ng ch?c n?ng perception.,1–4 h,,,,,,Major
ST-SEN-009,Sensor Stress,Sensor Dropped-Frame,Ki?m tra và xác ??nh t? l? m?t frame/sample c?a sensor.,Sensor ho?t ??ng bình th??ng; rate ?ã bi?t; logging b?t.,Robot; sensor; PC; ROS 2 tools; topic/rate monitor.,"1. Ghi rate k? v?ng c?a sensor.
2. B?t sensor và workload liên t?c.
3. Theo dõi s? message/frame nh?n ???c.
4. Ghi t?ng s? message k? v?ng và s? message th?c t? trong t?ng kho?ng th?i gian.
5. Tính ho?c l?y dropped frame/sample rate t? tool.
6. L?p theo nhi?u m?c trong 1–4 gi?.
7. Ki?m tra nguyên nhân n?u dropped data t?ng.
8. L?u log/evidence.",Không có ho?c ch? có t? l? dropped data n?m trong gi?i h?n cho phép.,Dropped data rate ? requirement; không có disconnect; không m?t d? li?u nghiêm tr?ng.,1–4 h,,,,,,Major
ST-SEN-010,Sensor Stress,Sensor Reconnect,Ki?m tra sensor có th? k?t n?i l?i và ho?t ??ng bình th??ng sau khi b? ng?t k?t n?i.,Sensor ho?t ??ng bình th??ng; ph??ng pháp disconnect/reconnect an toàn ?ã xác ??nh; robot ? tr?ng thái an toàn; logging b?t.,Robot; sensor; PC; ROS 2 tools; log viewer.,"1. Ghi tr?ng thái sensor tr??c test.
2. Ng?t k?t n?i sensor b?ng ph??ng pháp ???c phê duy?t.
3. Xác nh?n h? th?ng phát hi?n sensor m?t k?t n?i.
4. Ghi th?i gian t? lúc disconnect ??n khi h? th?ng phát hi?n.
5. K?t n?i sensor tr? l?i.
6. Ghi th?i gian sensor xu?t hi?n l?i và b?t ??u publish d? li?u.
7. Ki?m tra rate/data sau reconnect.
8. L?p l?i theo s? l?n yêu c?u.
9. Ki?m tra log.",H? th?ng phát hi?n disconnect và sensor reconnect thành công; d? li?u tr? l?i bình th??ng.,Reconnect trong th?i gian requirement; không c?n reboot ngoài thi?t k?; d? li?u/rate sau reconnect ??t requirement.,1–4 h,,,,,,Major
ST-SEN-011,Sensor Stress,All Sensors Concurrent,Ki?m tra t?t c? camera/LiDAR/IMU/encoder ho?t ??ng ??ng th?i.,T?ng sensor ?ã pass test c? b?n; robot ? khu v?c an toàn; ngu?n ??; logging b?t.,Robot; camera/LiDAR/IMU/encoder theo c?u hình; PC; ROS 2 tools; monitoring tool.,"1. Ki?m tra t?ng sensor tr??c test.
2. B?t t?t c? sensor cùng lúc.
3. Ki?m tra topic/rate c?a t?ng sensor.
4. Cho t?t c? sensor ch?y ??ng th?i 1–4 gi?.
5. M?i 15 phút ghi rate, latency, dropped data, nhi?t ?? và connection status.
6. Theo dõi CPU/GPU/RAM n?u có workload perception.
7. Ki?m tra không sensor nào disconnect ho?c node crash.
8. D?ng test và ki?m tra log.",T?t c? sensor duy trì ho?t ??ng; d? li?u h?p l?; không có sensor disconnect b?t th??ng.,Rate/latency/dropped data c?a các sensor trong requirement; không Critical sensor error; không node crash.,1–4 h,,,,,,Major
ST-SEN-012,Sensor Stress,Sensor + SLAM + AI,"Ki?m tra workload perception th?c t? khi sensor, SLAM và AI ch?y ??ng th?i.",T?t c? sensor ho?t ??ng; SLAM và AI ?ã ???c ki?m tra riêng; robot ? khu v?c di chuy?n an toàn; logging b?t.,Robot; camera/LiDAR/IMU/encoder; ROS 2; SLAM; AI application; PC.,"1. Ki?m tra t?t c? sensor ?ang ho?t ??ng.
2. Kh?i ??ng SLAM và ki?m tra tr?ng thái.
3. Kh?i ??ng AI perception/inference.
4. Cho robot th?c hi?n workload/k?ch b?n di chuy?n an toàn.
5. Duy trì 1–4 gi? theo k? ho?ch.
6. M?i 15 phút ghi sensor rate, latency, dropped data, CPU/GPU/RAM và connection status.
7. Ki?m tra SLAM không m?t tracking và AI không crash.
8. Ki?m tra sensor topics v?n có d? li?u.
9. D?ng workload và ki?m tra log.","Sensor, SLAM và AI cùng ho?t ??ng ?n ??nh; d? li?u sensor ??y ??; không crash.",Dropped data/latency trong requirement; không sensor disconnect; không SLAM/AI critical crash; KPI perception ??t requirement.,1–4 h,,,,,,Major
ST-MOT-001,Motor / Actuator Stress,Joint Position Cycling,Ki?m tra actuator có th? l?p l?i các v? trí yêu c?u ?n ??nh trong th?i gian dài.,Robot kh?i ??ng bình th??ng; pin ?50%; khu v?c test an toàn; E-stop ho?t ??ng; không l?i Critical; ?ã b?t logging; profile v? trí.,Robot; actuator tool; power analyzer; thermal camera; oscilloscope n?u c?n; PC.,"1. ??t robot/kh?p c?n test ? tr?ng thái an toàn.
2. Ki?m tra E-stop và ghi dòng/nhi?t ?? ban ??u.
3. Xác nh?n profile v? trí (ví d? A ? B ? A).
4. Ch?y profile v?i t?c ??/t?i an toàn.
5. L?p liên t?c trong th?i gian test.
6. M?i 5–15 phút ghi position command, position actual, position error, current, temperature và communication status.
7. Ki?m tra actuator không rung, k?t ho?c phát c?nh báo.
8. Sau khi ?? th?i gian, d?ng profile.
9. Ki?m tra log và tr?ng thái actuator.",Actuator hoàn thành các chu k?; v? trí th?c t? bám v? trí yêu c?u; không over-current/over-temp.,Không Critical fault; current và temperature trong gi?i h?n; position error ? requirement; không m?t communication.,30 min–24 h,,,,,,Major
ST-MOT-002,Motor / Actuator Stress,Joint Velocity Cycling,Ki?m tra actuator ho?t ??ng ?n ??nh khi thay ??i t?c ?? theo profile.,Robot an toàn; profile t?c ??; pin ?50%; E-stop ho?t ??ng; logging b?t.,Robot; actuator tool; power analyzer; thermal camera; PC; oscilloscope n?u c?n.,"1. Ki?m tra actuator ? tr?ng thái bình th??ng.
2. Ghi t?c ??, current và nhi?t ?? ban ??u.
3. Ch?n profile t?c ?? th?p ? cao ? th?p theo requirement.
4. Ch?y l?p profile trong th?i gian test.
5. Theo dõi actual velocity, current, temperature, position error và communication.
6. Ghi thông s? theo chu k?.
7. Ki?m tra không có rung, k?t ho?c fault.
8. D?ng test và ki?m tra log.",Actuator thay ??i t?c ?? ?úng profile và v?n ?i?u khi?n ?n ??nh.,Velocity/position error trong requirement; current/temperature trong gi?i h?n; không Critical fault ho?c communication loss.,30 min–24 h,,,,,,Major
ST-MOT-003,Motor / Actuator Stress,High Torque / Load,Ki?m tra actuator ch?u ???c t?i/mô-men cao theo gi?i h?n thi?t k?.,?ã xác ??nh t?i/mô-men t?i ?a cho phép; robot ???c c? ??nh/an toàn; pin ?50%; E-stop ho?t ??ng; logging b?t.,Robot; actuator/load fixture; power analyzer; torque measurement n?u có; thermal camera; PC.,"1. Xác nh?n giá tr? t?i/mô-men m?c tiêu và gi?i h?n an toàn.
2. Ghi current, torque và temperature ban ??u.
3. T?ng t?i t? t? ??n m?c m?c tiêu, không t?ng ??t ng?t.
4. Duy trì t?i theo th?i gian ???c phê duy?t.
5. Theo dõi current, torque, temperature, position error và fault.
6. N?u xu?t hi?n over-current/over-temp ho?c d?u hi?u c? khí b?t th??ng, d?ng test.
7. Gi?m t?i t? t?.
8. Ki?m tra actuator và log sau test.",Actuator ch?u t?i m?c tiêu mà không v??t gi?i h?n; chuy?n ??ng/gi? v? trí ?n ??nh.,Current/torque/temperature ? gi?i h?n thi?t k?; không Critical fault; position error ??t requirement.,30 min–24 h,,,,,,Major
ST-MOT-004,Motor / Actuator Stress,Low Torque / Load,Ki?m tra actuator ho?t ??ng ?n ??nh khi t?i th?p.,Robot an toàn; profile t?i th?p ?ã xác ??nh; pin ?50%; E-stop ho?t ??ng; logging b?t.,Robot; actuator tool; power analyzer; thermal camera; PC.,"1. Ghi current và temperature khi actuator ch?a ch?y.
2. C?u hình t?i th?p theo requirement.
3. Ch?y actuator theo profile chuy?n ??ng ?ã phê duy?t.
4. Duy trì/l?p trong th?i gian test.
5. Theo dõi current, position error, temperature và communication.
6. Ki?m tra actuator không rung b?t th??ng ho?c m?t ?i?u khi?n.
7. D?ng test và ki?m tra log.",Actuator ho?t ??ng ?n ??nh ? t?i th?p; không rung/k?t b?t th??ng.,"Position error, current và temperature trong requirement; không Critical fault; communication ?n ??nh.",30 min–24 h,,,,,,Major
